Alterno;Nombre;Ventas;Marca;Talla;Genero;Categoria;Venta;Tienda;Fecha de Venta;Nombre Comercial
A1QC0;Z.T SAWYER LANE WR BRW A1QC0 # 10.5;1;TIMBERLAND;10.5;HOMBRE;ZAPATO;2,990.00;Timberland Multiplaza;11/7/2019;SAWYER LANE
A1KJI;T. KENDRICK CHELSEA  BROW A1KJI # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;3,490.00;Timberland Multiplaza;11/7/2019;KENDRICK
A1OJD;T. LARCHMONT WP CHUKKA GAUCHO BROW A1OJD # 8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;2,790.00;Timberland Multiplaza;11/7/2019;LARCHMONT 
18128;T. FLUME MID DK BROMW 18128 #10;1;TIMBERLAND;10;HOMBRE;ZAPATO;2,677.50;Timberland Multiplaza;11/7/2019;CHOCORUA
A1TJZ;Z.T CHUKK POTTING BRW A1TJZ # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;3,141.00;Timberland Multiplaza;11/7/2019;CITY EDGE
12668;T. WHITE LEADGE BROWN 12668 # 7;1;TIMBERLAND;7;MUJER;ZAPATO;2,650.00;Timberland Multiplaza;11/7/2019;CHOCORUA
9540A;T. MT MADDEN LOW BROW 9540A # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;2,400.00;Time Out Citymall SPS;11/7/2019;MADDSEN
A11MO;T. KEELE RIDGE BROW A11MO # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;2,200.00;Time Out Citymall SPS;11/7/2019;KEELE RIDGE
A1QCT;Z.T SAWYQER LANE WP BRW A1QCT # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;1,495.00;Timberland CITY MALL;11/7/2019;SAWYER LANE
5552R;T. EK STORMBUCK DK OLIVE 5552R #10.5;1;TIMBERLAND;10.5;HOMBRE;ZAPATO;4,015.00;TimeOut Choluteca;11/7/2019;STORMBUCK
A11MO;T. KEELE RIDGE BROW A11MO # 11;1;TIMBERLAND;11;HOMBRE;ZAPATO;2,615.00;TimeOut Choluteca;11/7/2019;KEELE RIDGE
15551;"T.EK 6"" BROWN BURNISHED 15551 #10";1;TIMBERLAND;10;HOMBRE;ZAPATO;3,646.50;Shoes Cascadas;11/7/2019;EARTHKEEPERS
